l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
AC,숙박,AC01,호텔,AC010100,호텔
AC,숙박,AC02,콘도미니엄,AC020100,콘도
AC,숙박,AC02,콘도미니엄,AC020200,레지던스
AC,숙박,AC04,모텔,AC040100,모텔
C01,추천코스,C0112,가족코스,C01120001,가족코스
C01,추천코스,C0114,힐링코스,C01140001,힐링코스
C01,추천코스,C0115,도보코스,C01150001,도보코스
C01,추천코스,C0116,캠핑코스,C01160001,캠핑코스
C01,추천코스,C0117,맛코스,C01170001,맛코스
EV,축제/공연/행사,EV01,축제,EV010100,문화관광축제
EV,축제/공연/행사,EV01,축제,EV010200,문화예술축제
EV,축제/공연/행사,EV01,축제,EV010300,지역특산물축제
EV,축제/공연/행사,EV01,축제,EV010400,전통역사축제
EV,축제/공연/행사,EV01,축제,EV010500,생태자연축제
EV,축제/공연/행사,EV01,축제,EV010600,기타축제
EV,축제/공연/행사,EV02,공연,EV020100,전통공연
EV,축제/공연/행사,EV02,공연,EV020200,연극
EV,축제/공연/행사,EV02,공연,EV020300,뮤지컬
EV,축제/공연/행사,EV02,공연,EV020400,오페라
EV,축제/공연/행사,EV02,공연,EV020500,무용
EV,축제/공연/행사,EV02,공연,EV020600,클래식음악회
EV,축제/공연/행사,EV02,공연,EV020700,대중콘서트
EV,축제/공연/행사,EV02,공연,EV020800,영화
EV,축제/공연/행사,EV02,공연,EV020900,기타공연
EV,축제/공연/행사,EV02,공연,EV021000,넌버벌
EV,축제/공연/행사,EV03,행사,EV030100,전시회
EV,축제/공연/행사,EV03,행사,EV030200,박람회
EV,축제/공연/행사,EV03,행사,EV030300,스포츠경기
EV,축제/공연/행사,EV03,행사,EV030400,기타행사
EX,체험관광,EX01,전통체험,EX010100,전통문화체험
EX,체험관광,EX02,공예체험,EX020100,금속공예체험
EX,체험관광,EX02,공예체험,EX020200,유리공예체험
EX,체험관광,EX02,공예체험,EX020300,가죽공예체험
EX,체험관광,EX02,공예체험,EX020400,기타공예체험
EX,체험관광,EX05,웰니스관광,EX050100,온천 / 사우나 / 스파
EX,체험관광,EX05,웰니스관광,EX050200,찜질방
EX,체험관광,EX05,웰니스관광,EX050300,한방체험
EX,체험관광,EX05,웰니스관광,EX050400,힐링명상
EX,체험관광,EX05,웰니스관광,EX050500,뷰티스파
EX,체험관광,EX05,웰니스관광,EX050600,기타웰니스
EX,체험관광,EX05,웰니스관광,EX050700,자연치유
EX,체험관광,EX07,기타체험,EX070100,유람선/잠수함관광
EX,체험관광,EX07,기타체험,EX070200,기타체험관광
FD,음식,FD02,외국식,FD020100,중식
FD,음식,FD02,외국식,FD020200,일식
FD,음식,FD02,외국식,FD020300,서양식
FD,음식,FD02,외국식,FD020400,기타외국식
FD,음식,FD02,외국식,FD020500,퓨전음식
FD,음식,FD03,간이음식,FD030100,제과
FD,음식,FD03,간이음식,FD030200,"피자, 햄버거, 샌드위치 및 유사음식"
FD,음식,FD03,간이음식,FD030300,치킨
FD,음식,FD03,간이음식,FD030400,김밥 분식
FD,음식,FD03,간이음식,FD030500,이동음식
FD,음식,FD03,간이음식,FD030600,기타간이음식
FD,음식,FD05,카페/ 찻집,FD050100,카페
FD,음식,FD05,카페/ 찻집,FD050200,찻집
FD,음식,FD05,카페/ 찻집,FD050300,기타음료점
NA,자연관광,NA05,기타자연관광,NA050100,기타자연관광
SH,쇼핑,SH02,쇼핑몰,SH020100,복합쇼핑몰
SH,쇼핑,SH02,쇼핑몰,SH020200,아웃렛
SH,쇼핑,SH03,대형마트,SH030100,대형마트
SH,쇼핑,SH04,면세점,SH040100,공항면세점
SH,쇼핑,SH04,면세점,SH040200,시내면세점
SH,쇼핑,SH04,면세점,SH040300,사후면세점
SH,쇼핑,SH05,전문매장/상가,SH050100,공방/공예품점
SH,쇼핑,SH05,전문매장/상가,SH050200,전문상가
SH,쇼핑,SH05,전문매장/상가,SH050300,관광기념품/특산물판매점
VE,문화관광,VE02,테마공원,VE020100,테마파크
VE,문화관광,VE02,테마공원,VE020200,워터파크
VE,문화관광,VE02,테마공원,VE020300,동물원
VE,문화관광,VE02,테마공원,VE020400,수족관 / 아쿠라리움
VE,문화관광,VE02,테마공원,VE020500,천문대
VE,문화관광,VE03,도시공원,VE030100,시민공원
VE,문화관광,VE03,도시공원,VE030200,소공원
VE,문화관광,VE03,도시공원,VE030300,어린이공원
VE,문화관광,VE03,도시공원,VE030400,근린공원
VE,문화관광,VE03,도시공원,VE030500,주제공원
VE,문화관광,VE05,복합관광시설,VE050100,관광단지
VE,문화관광,VE05,복합관광시설,VE050200,리조트
VE,문화관광,VE06,공연시설,VE060100,공연장
VE,문화관광,VE06,공연시설,VE060200,영화관
VE,문화관광,VE09,교육시설,VE090100,한국문화원
VE,문화관광,VE09,교육시설,VE090200,외국문화원
VE,문화관광,VE09,교육시설,VE090300,도서관
VE,문화관광,VE09,교육시설,VE090400,문화전수시설
VE,문화관광,VE09,교육시설,VE090500,어학당
VE,문화관광,VE09,교육시설,VE090600,학교
VE,문화관광,VE10,레저스포츠시설,VE100100,스포츠경기장
VE,문화관광,VE10,레저스포츠시설,VE100200,"스포츠센터, 수련시설"
VE,문화관광,VE11,교통시설,VE110100,공항
VE,문화관광,VE11,교통시설,VE110200,기차역
VE,문화관광,VE11,교통시설,VE110300,버스터미널
VE,문화관광,VE11,교통시설,VE110400,여객선터미널
VE,문화관광,VE11,교통시설,VE110500,고속도로휴게소
VE,문화관광,VE11,교통시설,VE110600,지하철
VE,문화관광,VE12,기타문화관광지,VE120100,서점
VE,문화관광,VE12,기타문화관광지,VE120200,카지노
VE,문화관광,VE12,기타문화관광지,VE120300,기타문화시설
